date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2012/12/31,2522.952,3406.804,3897.987,3134.763,2223.24,1.6097,,1.3627,2.5077,1.7603
2013/1/4,2524.409,3391.446,3922.746,3104.154,2224.87,1.6272,,1.3725,2.6173,1.7652
2013/1/7,2535.985,3441.691,3953.903,3142.221,2235.9,1.6292,,1.3746,2.6462,1.7727
2013/1/8,2525.33,3492.858,3905.399,3182.451,2234.09,1.6176,,1.3582,2.6727,1.7699
2013/1/9,2526.126,3497.93,3888.287,3194.424,2236.15,1.6156,,1.3529,2.6793,1.7686
2013/1/10,2530.569,3524.245,3893.266,3208.062,2245.05,1.62,,1.3573,2.695,1.7755
2013/1/11,2483.23,3454.624,3822.93,3135.107,2204.14,1.5961,,1.341,2.6462,1.7458
2013/1/14,2577.725,3578.98,3976.606,3249.251,2274.8,1.6452,,1.3792,2.7474,1.8009
2013/1/15,2595.856,3649.138,3983.218,3311.152,2293,1.6509,,1.3779,2.7992,1.8149
2013/1/16,2577.092,3645.82,3927.239,3308.642,2280.13,1.6362,,1.3612,2.7887,1.8032
2013/1/17,2552.758,3602.849,3896.022,3269.608,2256.16,1.618,,1.3467,2.7564,1.7841
2013/1/18,2595.439,3659.565,3961.751,3322.434,2289.14,1.6398,,1.3638,2.8,1.809
2013/1/21,2610.898,3689.909,4019.914,3347.104,2301.56,1.643,,1.3688,2.823,1.8163
2013/1/22,2596.898,3617.128,4038.869,3291.967,2283.34,1.6377,,1.3722,2.7646,1.803
2013/1/23,2607.456,3630.037,4062.028,3300.886,2287.96,1.642,,1.3757,2.7738,1.8074
2013/1/24,2582.755,3540.217,4052.027,3232.47,2263.33,1.6345,,1.3772,2.7281,1.7891
2013/1/25,2571.674,3536.897,4032.599,3222.157,2254.06,1.6244,,1.3682,2.7125,1.7806
2013/1/28,2651.863,3629.363,4193.736,3302.97,2307.68,1.6639,,1.4022,2.7801,1.8237
2013/1/29,2675.866,3663.641,4230.999,3335.79,2321.96,1.6709,,1.4049,2.8032,1.8335
2013/1/30,2688.711,3661.028,4259.707,3338.633,2341.01,1.691,,1.4283,2.8081,1.8495
2013/1/31,2686.882,3639.191,4257.306,3325.286,2336.44,1.6943,,1.433,2.7946,1.849
2013/2/1,2743.324,3659.46,4384.155,3351.51,2365.68,1.7223,,1.4591,2.8277,1.8733
2013/2/4,2748.028,3624.82,4398.775,3321.728,2361.0802,1.7291,,1.4671,2.8042,1.8742
2013/2/5,2771.675,3657.509,4407.606,3353.549,2381.3447,1.7298,,1.4569,2.8267,1.8797
2013/2/6,2775.844,3681.308,4406.668,3376.126,2390.3536,1.7301,,1.456,2.8407,1.883
2013/2/7,2759.87,3700.572,4319.98,3404.997,2385.7977,1.7156,,1.4337,2.8533,1.8742
2013/2/8,2771.725,3755.544,4311.657,3460.742,2407.6385,1.7238,,1.4375,2.9013,1.8906
2013/2/18,2737.471,3797.69,4280.77,3488.222,2398.54,1.7059,,1.4309,2.9172,1.8831
2013/2/19,2685.606,3737.653,4212.623,3420.577,2355.6624,1.6784,,1.4118,2.8599,1.8525
2013/2/20,2702.635,3818.444,4201.938,3489.548,2383.5538,1.685,,1.4101,2.9216,1.8684
2013/2/21,2610.549,3750.167,4035.139,3419.957,2316.3375,1.6324,,1.365,2.8618,1.8175
2013/2/22,2596.604,3744.1,3987.504,3409.594,2306.6774,1.6224,,1.3522,2.8436,1.8085
2013/2/25,2604.96,3790.962,4009.458,3441.739,2322.1645,1.6277,,1.358,2.8679,1.8186
2013/2/26,2567.595,3743.808,3964.715,3393.583,2290.0549,1.605,,1.342,2.825,1.7933
2013/2/27,2594.677,3745.413,4017.31,3397.31,2305.4933,1.6202,,1.356,2.8214,1.8051
2013/2/28,2673.327,3815.719,4167.782,3469.062,2366.067,1.6562,,1.3857,2.89,1.8427
2013/3/1,2668.836,3876.638,4146.387,3496.542,2376.7759,1.6484,,1.3756,2.9047,1.844
2013/3/4,2545.715,3760.614,3917.345,3350.552,2279.0616,1.5854,,1.3245,2.7728,1.7766
2013/3/5,2622.807,3848.588,4079.379,3426.853,2341.9301,1.6234,,1.3578,2.836,1.8179
2013/3/6,2650.202,3914.841,4123.023,3482.15,2372.3616,1.6352,,1.3656,2.8805,1.8366
2013/3/7,2619.479,3867.608,4056.394,3435.006,2344.7553,1.6175,,1.3482,2.8407,1.8168
2013/3/8,2606.927,3829.168,4054.46,3400.437,2328.4314,1.6144,,1.3498,2.8222,1.8093
2013/3/11,2592.372,3832.111,4010.244,3404.244,2321.14,1.6078,,1.3426,2.8219,1.8048
2013/3/12,2555.615,3726.205,3951.663,3317.727,2277.1465,1.5946,,1.336,2.7477,1.7808
2013/3/13,2527.486,3696.453,3910.164,3294.272,2253.9512,1.5799,,1.3245,2.7276,1.7644
2013/3/14,2534.273,3709.721,3915.385,3319.349,2261.0161,1.5855,,1.3287,2.7499,1.7702
2013/3/15,2539.873,3715.14,3935.786,3326.352,2265.3878,1.5919,,1.3405,2.7585,1.7759
2013/3/18,2502.493,3671.801,3883.062,3269.932,2233.6098,1.5622,,1.3142,2.7006,1.7469
2013/3/19,2525.097,3675.682,3935.574,3270.783,2248.0284,1.5745,,1.3264,2.7054,1.7581
2013/3/20,2610.174,3769.257,4088.409,3367.74,2317.1845,1.6176,,1.3613,2.8003,1.8047
2013/3/21,2614.988,3818.092,4078.34,3398.7,2330.8682,1.62,,1.3615,2.8211,1.8125
2013/3/22,2618.308,3827.095,4082.765,3403.181,2336.3204,1.6186,,1.3593,2.8153,1.813
2013/3/25,2613.097,3834.292,4075.185,3403.245,2333.0266,1.6111,,1.3495,2.8111,1.8035
2013/3/26,2575.05,3814.194,3992.373,3372.968,2306.5071,1.5883,,1.3287,2.785,1.7819
2013/3/27,2583.53,3825.753,4011.409,3378.555,2313.8929,1.5808,,1.3215,2.7817,1.7772
2013/3/28,2499.302,3710.239,3836.256,3281.511,2241.0454,1.5283,,1.2728,2.693,1.7202
2013/3/29,2495.083,3712.22,3847.688,3298.405,2239.2658,1.5258,,1.2731,2.7055,1.7174
2013/4/1,2493.187,3743.367,3838.402,3313.184,2244.8436,1.5229,,1.2697,2.7063,1.7181
2013/4/2,2486.391,3680.148,3843.353,3260.903,2227.5937,1.5215,,1.272,2.6646,1.7086
2013/4/3,2483.547,3642.59,3860.098,3226.032,2216.901,1.5221,,1.2772,2.6315,1.7036
2013/4/8,2472.299,3669.009,3826.541,3244.65,2214.7981,1.5132,,1.2666,2.6515,1.6989
2013/4/9,2489.43,3703.403,3851.06,3279.009,2233.5536,1.5209,,1.2714,2.6861,1.7099
2013/4/10,2485.309,3685.726,3838.166,3267.198,2227.8282,1.5201,,1.2702,2.6734,1.7068
2013/4/11,2477.876,3674.333,3837.929,3252.935,2220.7394,1.517,,1.2696,2.6561,1.7028
2013/4/12,2462.112,3643.71,3814.912,3230.025,2204.9291,1.5085,,1.2647,2.6337,1.6925
2013/4/15,2436.818,3594.429,3792.063,3189.384,2178.7007,1.4932,,1.2552,2.5996,1.6741
2013/4/16,2459.592,3629.737,3816.846,3228.252,2199.6548,1.5015,,1.2581,2.6413,1.6851
2013/4/17,2458.473,3669.805,3781.362,3256.491,2208.7298,1.4989,,1.2503,2.6666,1.6876
2013/4/18,2464.851,3681.914,3798.4,3259.945,2215.5607,1.5005,,1.2522,2.6709,1.69
2013/4/19,2533.827,3752.879,3928.294,3331.546,2270.8455,1.5333,,1.2792,2.7273,1.7258
2013/4/22,2530.67,3793.253,3931.172,3356.106,2275.9709,1.5289,,1.2759,2.7525,1.7254
2013/4/23,2449.471,3685.545,3803.927,3260.786,2206.7378,1.4864,,1.2453,2.6701,1.6774
2013/4/24,2495.579,3770.947,3869.136,3326.181,2251.8486,1.5063,,1.2587,2.73,1.703
2013/4/25,2467.875,3700.487,3825.881,3280.28,2220.6789,1.492,,1.2494,2.6974,1.6818
2013/4/26,2447.306,3627.497,3804.599,3227.662,2192.4873,1.4598,,1.2211,2.646,1.6451
