id,date,business_name,pzdm,name,settlement,opening,highest_price,lowest_price,today_close,clearing,ups_downs_1,ups_downs_2,turnover_hand,empty_plate,increase_decrease,turnover_volume,delivery_settlement_price
179799,20140730,F4,IF,IF1412,2358.4,2352,2366,2345.4,2349.2,2351.6,-9.2,-6.8,8991,14532,0,6351929940,0
179800,20140730,F4,IF,IF1503,2375,2371,2382.2,2361.8,2366.6,2369.8,-8.4,-5.2,1776,2406,0,1263563460,0
967113,20140730,F4,IF,IF,0,2334,2351.6,2329,2333,0,0,0,774154,179661,0,0,0
179390,20140731,F4,IF,IF1408,2331.8,2330,2371.2,2323,2370.8,2355,39,23.2,775762,111769,0,5.45E+11,0
179391,20140731,F4,IF,IF1409,2338.6,2333.2,2379.8,2330.2,2379.2,2363.6,40.6,25,60136,57434,0,42394716060,0
179392,20140731,F4,IF,IF1412,2351.6,2353,2392,2344,2392,2375.4,40.4,23.8,8738,14564,0,6196597080,0
179393,20140731,F4,IF,IF1503,2369.8,2367.8,2409.6,2362.2,2409,2394.8,39.2,25,1613,2555,0,1152524760,0
967154,20140731,F4,IF,IF,0,2333.4,2375.8,2328,2375.6,0,0,0,846249,186322,0,0,0
178983,20140801,F4,IF,IF1408,2355,2365,2391.8,2333.2,2342.6,2347,-12.4,-8,929869,107083,0,6.59E+11,0
178984,20140801,F4,IF,IF1409,2363.6,2373.2,2400,2340,2349.2,2355.4,-14.4,-8.2,84877,57133,0,60384383640,0
178985,20140801,F4,IF,IF1412,2375.4,2382,2415.2,2355.8,2365,2371.4,-10.4,-4,16696,16337,0,11953302780,0
178986,20140801,F4,IF,IF1503,2394.8,2399.6,2440,2383.6,2392,2397,-2.8,2.2,4676,3959,0,3383549760,0
967195,20140801,F4,IF,IF,0,2369.4,2396.4,2338.4,2347.6,0,0,0,1036118,184512,0,0,0
178576,20140804,F4,IF,IF1408,2347,2343.2,2392.4,2343.2,2386.4,2385,39.4,38,901824,112696,0,6.41E+11,0
178577,20140804,F4,IF,IF1409,2355.4,2350,2401.8,2349.4,2396.2,2394.2,40.8,38.8,79741,60552,0,56866948980,0
178578,20140804,F4,IF,IF1412,2371.4,2365.8,2417,2365.6,2409.2,2406.6,37.8,35.2,11872,16684,0,8514915480,0
178579,20140804,F4,IF,IF1503,2397,2397,2441.6,2389.6,2438.2,2436,41.2,39,2627,4375,0,1903843560,0
967237,20140804,F4,IF,IF,0,2348.4,2398,2348.4,2392.6,0,0,0,996064,194307,0,0,0
178169,20140805,F4,IF,IF1408,2385,2388.2,2394.2,2360.6,2368,2371.8,-17,-13.2,830224,110302,0,5.91E+11,0
178170,20140805,F4,IF,IF1409,2394.2,2400,2403.4,2370,2376.6,2380.2,-17.6,-14,71275,59385,0,50948614740,0
178171,20140805,F4,IF,IF1412,2406.6,2406.6,2417.8,2386,2394,2396.6,-12.6,-10,10667,17374,0,7674795240,0
178172,20140805,F4,IF,IF1503,2436,2441,2447.2,2414.6,2421.8,2424.6,-14.2,-11.4,2044,4608,0,1488309180,0
967278,20140805,F4,IF,IF,0,2394.6,2400,2367,2374.4,0,0,0,914210,191669,0,0,0
177762,20140806,F4,IF,IF1408,2371.8,2363.6,2377.2,2337.4,2362,2367.8,-9.8,-4,865135,105568,0,6.12E+11,0
177763,20140806,F4,IF,IF1409,2380.2,2376,2385,2345.8,2369,2375.6,-11.2,-4.6,87688,60263,0,62260531200,0
177764,20140806,F4,IF,IF1412,2396.6,2423,2423,2363,2387,2391.2,-9.6,-5.4,11493,17626,0,8217923040,0
177765,20140806,F4,IF,IF1503,2424.6,2418.2,2427,2392.2,2413,2418.6,-11.6,-6,1765,4746,0,1276223880,0
967320,20140806,F4,IF,IF,0,2374.2,2382.4,2343.4,2367.8,0,0,0,966081,188203,0,0,0
177355,20140807,F4,IF,IF1408,2367.8,2366.4,2376.2,2330.8,2334.4,2335,-33.4,-32.8,848414,101482,0,5.99E+11,0
177356,20140807,F4,IF,IF1409,2375.6,2375.6,2383.6,2338.8,2342.4,2343.2,-33.2,-32.4,95385,63427,0,67537985040,0
177357,20140807,F4,IF,IF1412,2391.2,2386,2399.8,2358,2361,2362.2,-30.2,-29,13496,18589,0,9621554220,0
177358,20140807,F4,IF,IF1503,2418.6,2412.2,2426.8,2382.2,2385.8,2387.2,-32.8,-31.4,2040,4747,0,1470932520,0
967361,20140807,F4,IF,IF,0,2372.4,2381.8,2337.2,2341,0,0,0,959335,188245,0,0,0
176948,20140808,F4,IF,IF1408,2335,2334.4,2349.8,2326,2338.6,2336.4,3.6,1.4,697998,96575,0,4.90E+11,0
176949,20140808,F4,IF,IF1409,2343.2,2341.4,2357.4,2334.2,2345.2,2343.2,2,0,86365,62010,0,60771523500,0
176950,20140808,F4,IF,IF1412,2362.2,2361.6,2375,2353.2,2364.4,2362.2,2.2,0,9669,18702,0,6858155640,0
176951,20140808,F4,IF,IF1503,2387.2,2389.8,2400.6,2378.2,2389,2388,1.8,0.8,1894,4966,0,1358018580,0
967403,20140808,F4,IF,IF,0,2340.8,2355.6,2332.4,2344.8,0,0,0,795926,182253,0,0,0
176523,20140811,F4,IF,IF1408,2336.4,2346,2376.4,2342,2360,2369.4,23.6,33,728559,91644,0,5.17E+11,0
176524,20140811,F4,IF,IF1409,2343.2,2355,2383,2350.6,2367,2376.4,23.8,33.2,112905,69591,0,80299626540,0
176525,20140811,F4,IF,IF1412,2362.2,2368,2396.8,2367.4,2384,2389.8,21.8,27.6,11828,17964,0,8455534680,0
176526,20140811,F4,IF,IF1503,2388,2394,2418.8,2393.8,2411.4,2416,23.4,28,2825,5146,0,2043494700,0
967446,20140811,F4,IF,IF,0,2352.6,2381.4,2348.6,2366.4,0,0,0,856117,184345,0,0,0
176098,20140812,F4,IF,IF1408,2369.4,2362,2366.8,2345,2365.8,2358.6,-3.6,-10.8,593424,76221,0,4.19E+11,0
176099,20140812,F4,IF,IF1409,2376.4,2371,2374.2,2352.8,2373.6,2364.8,-2.8,-11.6,133657,78544,0,94690384980,0
176100,20140812,F4,IF,IF1412,2389.8,2389,2389,2370.4,2388.2,2381,-1.6,-8.8,7541,18073,0,5380357140,0
176101,20140812,F4,IF,IF1503,2416,2412.4,2413.8,2397.8,2413.8,2406.2,-2.2,-9.8,1451,5157,0,1046873220,0
967489,20140812,F4,IF,IF,0,2369.4,2373.4,2351.8,2373,0,0,0,736073,177995,0,0,0
175673,20140813,F4,IF,IF1408,2358.6,2367,2373.4,2335.2,2358.8,2355.8,0.2,-2.8,554012,48351,0,3.91E+11,0
175674,20140813,F4,IF,IF1409,2364.8,2374.6,2380,2341.8,2368.4,2364.2,3.6,-0.6,375581,106907,0,2.66E+11,0
175675,20140813,F4,IF,IF1412,2381,2389,2391.4,2354.6,2381.6,2376.2,0.6,-4.8,17769,17938,0,12657711840,0
175676,20140813,F4,IF,IF1503,2406.2,2413.8,2415,2375.8,2397,2392,-9.2,-14.2,4715,3589,0,3386732160,0
967533,20140813,F4,IF,IF,0,2374.8,2379,2341.6,2367.6,0,0,0,952077,176785,0,0,0
175248,20140814,F4,IF,IF1408,2355.8,2365,2366.8,2333,2335.6,2340.8,-20.2,-15,248949,22100,0,1.76E+11,0
175249,20140814,F4,IF,IF1409,2364.2,2371.2,2378,2340.6,2345.2,2349.2,-19,-15,656909,129096,0,4.65E+11,0
175250,20140814,F4,IF,IF1412,2376.2,2382,2389.4,2355.2,2360.4,2364.4,-15.8,-11.8,16117,18291,0,11478045480,0
175251,20140814,F4,IF,IF1503,2392,2399.8,2406.2,2371,2374.8,2377.6,-17.2,-14.4,1814,3564,0,1300125000,0
967576,20140814,F4,IF,IF,0,2370.6,2377.4,2341.8,2346.2,0,0,0,923789,173051,0,0,0
174823,20140815,F4,IF,IF1408,2340.8,2342,2365,2333.8,2360.2,2360.41,19.4,19.61,78527,0,0,55372535100,0
174824,20140815,F4,IF,IF1409,2349.2,2350.6,2385.6,2345.6,2378,2371.6,28.8,22.4,805638,147266,0,5.72E+11,0
174825,20140815,F4,IF,IF1412,2364.4,2364,2398.8,2361.6,2393.4,2387.6,29,23.2,25246,19725,0,18045397080,0
174826,20140815,F4,IF,IF1503,2377.6,2375,2413.2,2375,2408.4,2402.4,30.8,24.8,2263,3653,0,1627356540,0
967620,20140815,F4,IF,IF,0,2351.8,2386.2,2346.8,2380,0,0,0,911674,170644,0,0,0
174396,20140818,F4,IF,IF1409,2371.6,2378,2394,2367.4,2376.2,2374.8,4.6,3.2,701287,145024,0,5.00E+11,0
174397,20140818,F4,IF,IF1410,2371.6,2384.2,2400,2374.6,2382.4,2381.4,10.8,9.8,5809,734,0,4158380040,0
174398,20140818,F4,IF,IF1412,2387.6,2399,2410,2384.4,2392.2,2391.4,4.6,3.8,16758,20357,0,12042334140,0
174399,20140818,F4,IF,IF1503,2402.4,2413,2424,2400,2407,2406.4,4.6,4,1609,3714,0,1163376360,0
967662,20140818,F4,IF,IF,0,2380.6,2396,2370.4,2378.8,0,0,0,725463,169829,0,0,0
173969,20140819,F4,IF,IF1409,2374.8,2379.8,2384.2,2357,2374.4,2369.2,-0.4,-5.6,698616,140228,0,4.97E+11,0
173970,20140819,F4,IF,IF1410,2381.4,2385.8,2389.8,2364.2,2379.4,2375,-2,-6.4,5006,1219,0,3572036160,0
173971,20140819,F4,IF,IF1412,2391.4,2393,2400,2373.6,2390.6,2384.4,-0.8,-7,15246,20726,0,10924587660,0
173972,20140819,F4,IF,IF1503,2406.4,2407,2414.4,2388.8,2405.8,2399.4,-0.6,-7,1578,3771,0,1137954180,0
967705,20140819,F4,IF,IF,0,2382.6,2386.6,2359.8,2377.2,0,0,0,720446,165944,0,0,0
173542,20140820,F4,IF,IF1409,2369.2,2374,2378.6,2361,2364.4,2365.8,-4.8,-3.4,666923,138239,0,4.74E+11,0
173543,20140820,F4,IF,IF1410,2375,2379.4,2384,2367.4,2369.8,2370.6,-5.2,-4.4,6546,1757,0,4662763320,0
173544,20140820,F4,IF,IF1412,2384.4,2391.4,2394,2376.4,2379.6,2380.8,-4.8,-3.6,13935,20919,0,9967121340,0
173545,20140820,F4,IF,IF1503,2399.4,2404.2,2408,2393,2396.4,2397.4,-3,-2,1377,3976,0,991193640,0
967749,20140820,F4,IF,IF,0,2376.6,2380.8,2363.6,2367.2,0,0,0,688781,164891,0,0,0
173115,20140821,F4,IF,IF1409,2365.8,2367,2369.4,2336.2,2354.8,2353.8,-11,-12,685140,135270,0,4.83E+11,0
173116,20140821,F4,IF,IF1410,2370.6,2372,2374.2,2343.2,2360.4,2359.2,-10.2,-11.4,7466,2353,0,5279787540,0
173117,20140821,F4,IF,IF1412,2380.8,2381.2,2384.6,2352.8,2371.4,2369.8,-9.4,-11,18559,21411,0,13180286640,0
173118,20140821,F4,IF,IF1503,2397.4,2396.2,2401,2370.6,2389,2387.2,-8.4,-10.2,1452,3938,0,1038705300,0
967792,20140821,F4,IF,IF,0,2369.8,2371.8,2339,2357.8,0,0,0,712617,162972,0,0,0
172688,20140822,F4,IF,IF1409,2353.8,2356.2,2374.4,2351.6,2372.2,2367.8,18.4,14,691779,133423,0,4.90E+11,0
172689,20140822,F4,IF,IF1410,2359.2,2361.6,2380,2358,2378.4,2374.8,19.2,15.6,6122,2610,0,4350613200,0
172690,20140822,F4,IF,IF1412,2369.8,2372.2,2392.4,2367.6,2391.4,2386.6,21.6,16.8,18786,22117,0,13411687440,0
172691,20140822,F4,IF,IF1503,2387.2,2385.4,2409,2384.4,2409,2402.8,21.8,15.6,1081,3940,0,776888280,0
967836,20140822,F4,IF,IF,0,2359.2,2377.4,2354.6,2375.8,0,0,0,717768,162090,0,0,0
172261,20140825,F4,IF,IF1409,2367.8,2373.6,2377.2,2341.8,2348,2352,-19.8,-15.8,676285,133287,0,4.78E+11,0
172262,20140825,F4,IF,IF1410,2374.8,2380.2,2383.4,2349.8,2355.4,2359.4,-19.4,-15.4,9405,4594,0,6665621580,0
172263,20140825,F4,IF,IF1412,2386.6,2387,2395,2362.2,2370,2373.6,-16.6,-13,16610,22497,0,11838811080,0
172264,20140825,F4,IF,IF1503,2402.8,2408.4,2410,2380,2385.6,2390.4,-17.2,-12.4,1385,3874,0,994136280,0
967878,20140825,F4,IF,IF,0,2377.2,2380.2,2345.4,2352.2,0,0,0,703685,164252,0,0,0
171834,20140826,F4,IF,IF1409,2352,2347.8,2355.6,2327.8,2337.6,2334.6,-14.4,-17.4,722864,134605,0,5.08E+11,0
171835,20140826,F4,IF,IF1410,2359.4,2355.4,2362.8,2336.2,2344.6,2341.6,-14.8,-17.8,8104,5309,0,5712047040,0
171836,20140826,F4,IF,IF1412,2373.6,2370,2377.6,2351.2,2358.8,2356.2,-14.8,-17.4,19525,23379,0,13852364340,0
171837,20140826,F4,IF,IF1503,2390.4,2385.6,2393,2367,2375.6,2373,-14.8,-17.4,1469,3904,0,1048861260,0
967922,20140826,F4,IF,IF,0,2351.8,2359.4,2332,2341.6,0,0,0,751962,167197,0,0,0
171407,20140827,F4,IF,IF1409,2334.6,2338.6,2347.6,2333.4,2336,2336,1.4,1.4,517339,133376,0,3.63E+11,0
171408,20140827,F4,IF,IF1410,2341.6,2346.2,2354.4,2341.2,2343.2,2343.6,1.6,2,5004,5920,0,3523861260,0
171409,20140827,F4,IF,IF1412,2356.2,2360.4,2368.4,2355.8,2358.2,2358,2,1.8,11216,23727,0,7946637240,0
171410,20140827,F4,IF,IF1503,2373,2377.4,2383.6,2371.2,2373.4,2373,0.4,0,1238,3997,0,882727800,0
967966,20140827,F4,IF,IF,0,2342.8,2351,2337.6,2340.4,0,0,0,534797,167020,0,0,0
170980,20140828,F4,IF,IF1409,2336,2336.6,2343.8,2321.6,2330.6,2331.8,-5.4,-4.2,631839,135584,0,4.42E+11,0
170981,20140828,F4,IF,IF1410,2343.6,2345,2351.2,2329.8,2339.2,2339.4,-4.4,-4.2,7833,7500,0,5497372920,0
170982,20140828,F4,IF,IF1412,2358,2360.6,2365,2344.6,2352.4,2354,-5.6,-4,12732,23435,0,8992665600,0
170983,20140828,F4,IF,IF1503,2373,2375.2,2380.2,2362,2370.6,2371,-2.4,-2,1327,4063,0,943936560,0
968009,20140828,F4,IF,IF,0,2340.8,2347.6,2325.6,2335,0,0,0,653731,170582,0,0,0
170553,20140829,F4,IF,IF1409,2331.8,2327.8,2352.8,2327.6,2351.6,2347.4,19.8,15.6,585425,132741,0,4.11E+11,0
170554,20140829,F4,IF,IF1410,2339.4,2339.2,2359,2336,2357.6,2354.6,18.2,15.2,7156,7851,0,5039495040,0
170555,20140829,F4,IF,IF1412,2354,2351.8,2373,2350.4,2371.4,2368,17.4,14,10811,23721,0,7655678460,0
170556,20140829,F4,IF,IF1503,2371,2368.4,2389,2368.2,2388,2384.6,17,13.6,1033,4067,0,736864320,0
968052,20140829,F4,IF,IF,0,2332.2,2356.6,2332.2,2355.6,0,0,0,604425,168380,0,0,0
170126,20140901,F4,IF,IF1409,2347.4,2353,2359,2341.8,2349.6,2352,2.2,4.6,553454,129291,0,3.90E+11,0
170127,20140901,F4,IF,IF1410,2354.6,2357.6,2365.2,2349,2355.4,2358.2,0.8,3.6,7336,8579,0,5190604980,0
170128,20140901,F4,IF,IF1412,2368,2371.6,2379,2363,2368.8,2372,0.8,4,11944,23303,0,8499650940,0
